Name,Cuisine,Distance,Unit,Rating
The Spice Route,Chinese,0.2,miles,4
La Piazza,Italian,0.7,miles,4.5
China Town,Chinese,0.9,miles,3.5
The Great Kabab Factory,Italian,0.4,km,4
China Town,Chinese,0.6,km,4
The Rice Bowl,Chinese,1.2,km,3
The Great Wall,Chinese,0.5,km,4
La Piazza,Italian,0.7,km,3
The Chinese Hut,Chinese,1.2,km,4.5
The China Kitchen,Chinese,0.5,km,4.1
The Italian Connection,Italian,0.7,km,4.3
The Orient Express,Chinese,0.9,km,4.5
The Oriental Kitchen,Chinese,0.5,miles,4
La Trattoria,Italian,0.7,miles,4.5
Ye Shanghai,Chinese,1.2,miles,3.5
The Yellow Chilli,[Chinese],0.2,km,4
Pizza Hut,[Italian],0.4,km,3
China Bowl,[Chinese],0.5,km,4
China Bowl,Chinese,0.3,miles,4
La Piazza,Italian,0.5,miles,4
The Great Wall,Chinese,0.7,miles,3.5
The Golden Dragon,Chinese,0.7,km,4.5
La Pizzeria,Italian,0.8,km,4
La Trattoria,Italian,1.2,km,4.3
Dragon Express,Chinese,0.4,mi,4
The Italian Corner,Italian,0.7,mi,4.5
The Great Wall,Chinese,0.9,mi,3.5
China Garden,Chinese,0.5,km,4
Italiano,Italian,0.7,km,4.5
The Golden Dragon,Chinese,0.3,km,3.5
China Town,Chinese,0.5,km,4
Little Italy,Italian,1.1,km,3.5
The Great Wall,Chinese,2.3,km,4.5
The Great Kabab Factory,Italian,0.7,km,4
The Spice Rack,Chinese,0.8,km,3.5
The Pizzeria,Italian,1.2,km,4
China Bowl,Chinese,0.6,miles,4.5
La Piazza,Italian,0.9,miles,4.2
Gokulam Grand,Chinese,1.2,miles,3.8
China Town,Chinese,0.6,miles,4.5
The Italian Job,Italian,0.8,miles,4.2
The Grand Oriental,Chinese,1.1,miles,4
The Spice Route,Chinese,4.2,km,4
La Piazza,Italian,4,km,3.5
The Earth Plate,Chinese,3.5,km,4.5
