Name,Address,Distance,Price per day,Ratings
The Park Hyderabad,"22, Raj Bhavan Road, Somajiguda, Hyderabad, Telangana 500082",11.9 km,165 USD,5 stars
Ibis Ahmedabad,"Opposite Gujarat High Court, S.G. Highway, Ahmedabad, Gujarat, 380015",10.2 km,45 USD,3.5 stars
Hotel President,"Opposite Gujarat University Stadium, Navrangpura, Ahmedabad, Gujarat 380009",3.6 km,85 USD,4.5 stars
Hotel Grand Bhagwati,"S.G. Highway, Bodakdev, Ahmedabad, Gujarat 380054",2.3 km,55 USD,4 stars
Hotel Lords Inn Ahmedabad,"Nr. Gujarat High Court, S.G. Highway, Sola, Ahmedabad, Gujarat 380060",9.1 km,52 USD,3.5 stars
Hotel Ramada Jaipur,"Tonk Road, Durgapura, Jaipur, Rajasthan 302018",5.1 km,69 USD,4 stars
Hotel Royal Highness,"Opp. Gujarat High Court, S.G. Highway, Sola, Ahmedabad, Gujarat 380063, India",4.0 km,55 USD,3.5 stars
Hotel Amdavad,"Near Narendra Modi Stadium, Kankaria, Ahmedabad, Gujarat 380022",1.1 km,60 USD,3.5 stars
Hotel Grand Sarovar Premiere,"Udhna Magdalla Road, Surat, Gujarat 395007",4.3 km,95 USD,4.5 stars
Hotel The Grand Bhagwati,"S.G. Highway, Bodakdev, Ahmedabad, Gujarat 380054, India",12.4 km,80 USD,4 stars
The Fern Hotel,"Opp. Sabarmati Riverfront, Near Gujarat University, Ahmedabad, Gujarat 380015, India",4.2 km,70 USD,4 stars
Hotel Amrapali,"Near Gujarat University, 132 Feet Ring Road, Navrangpura, Ahmedabad, Gujarat 380009, India",5.8 km,73 USD,4 stars
Hotel Samraj,"Near Narmada Canal, Sector 11, Gandhinagar, Gujarat 382010",6.8 km,45 USD,4 stars
Hotel Royal Inn,"Opposite Balaji Temple, Jamnagar, Gujarat 361001, India",2.4 km,45 USD,4 stars
The Fern Residency Ahmedabad,"Near Gujarat High Court, S G Road, Sola, Ahmedabad, Gujarat 380060",5.6 km,70 USD,4 stars
